taz,sum,max,min,mean,std,25p,50p,75p
476,135.95,3.5,0.0,0.81,0.78,0.25,0.6,1.0
477,653.8,12.75,0.0,3.89,3.09,1.4,3.0,5.76
478,308.45,7.5,0.0,1.84,1.68,0.6,1.25,2.64
479,324.15,7.25,0.0,1.93,1.44,0.95,1.6,2.6
480,95.45,3.0,0.0,0.57,0.59,0.2,0.4,0.8
481,195.15,4.75,0.0,1.16,0.92,0.4,1.0,1.6
482,80.25,3.0,0.0,0.48,0.59,0.0,0.25,0.6
483,1427.45,25.8,0.0,8.5,5.24,4.4,8.2,11.0
484,636.85,11.0,0.0,3.79,2.31,1.75,3.9,5.5
485,561.8,12.75,0.2,3.34,1.75,2.44,3.4,4.25
486,687.45,13.75,0.2,4.09,2.11,2.5,4.1,5.2
487,310.9,7.2,0.0,1.85,1.63,0.5,1.5,2.75
488,571.0,7.6,0.0,3.4,1.81,2.0,3.4,4.6
489,908.0,11.5,0.25,5.4,2.73,3.48,5.68,7.29
490,584.55,9.75,0.0,3.48,2.09,1.94,3.55,4.8
491,1351.7,27.75,0.2,8.05,5.63,3.48,7.0,10.85
492,499.2,50.75,0.0,2.97,5.14,0.79,2.0,3.6
493,40.4,1.2,0.0,0.24,0.28,0.0,0.2,0.4
494,246.05,5.5,0.0,1.46,1.19,0.57,1.25,2.05
495,249.85,4.8,0.0,1.49,1.16,0.4,1.32,2.05
496,214.85,7.25,0.0,1.28,1.24,0.5,1.0,1.76
497,162.0,3.75,0.0,0.96,0.76,0.4,0.8,1.4
498,158.95,3.25,0.0,0.95,0.73,0.4,0.75,1.42
499,121.0,4.75,0.0,0.72,0.76,0.2,0.5,1.05
500,279.5,5.0,0.0,1.66,1.08,0.8,1.5,2.25
501,261.5,4.5,0.0,1.56,1.01,0.75,1.25,2.25
502,248.7,5.5,0.0,1.48,1.12,0.6,1.25,2.05
503,457.4,11.25,0.0,2.72,2.03,1.24,2.4,3.8
504,204.2,4.25,0.0,1.22,0.91,0.5,1.0,1.75
